Unnamed: 0,age,family_income,study_hours_per_day,attendance_rate,assignment_delay_days,travel_time_minutes,stress_index,gpa,gender_Male,internet_access_Yes,part_time_job_Yes,scholarship_Yes,semester_Year 2,semester_Year 3,semester_Year 4,department_Business,department_CS,department_Engineering,department_Science,parental_education_High School,parental_education_Master,parental_education_PhD,parental_education_Unknown,gpa_trend,study_efficiency,low_income_high_travel,dropout
0,21.5,25000.0,5.7,82.7,0,42.0,4.2,3.46,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,-0.020000000000000018,1.6473940826760616,1,0
1,19.4,29448.0,7.28,75.7,2,47.8,5.2,3.54,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.040000000000000036,2.0564913658435993,0,0
2,20.5,25000.0,4.45,79.5,3,35.6,4.0,3.01,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,0.010000000000000231,1.4784004039853689,1,0
3,17.6,25000.0,2.41,73.3,0,12.5,3.8,1.65,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False,0.10000000000000009,1.4605972085017667,0,0
4,22.5,34113.0,2.9,84.7,2,45.5,2.5,0.75,False,True,True,True,False,False,True,False,False,True,False,True,False,False,False,-0.43,3.8666151117985095,0,0
5,17.0,57317.0,1.62,78.2,4,18.5,4.7,2.87,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,-0.1200000000000001,0.5644579635611026,0,0
6,18.3,25000.0,3.37,71.6,2,38.5,8.2,1.09,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.7200000000000001,3.0917147549105053,1,1
7,18.9,25000.0,5.97,79.6,1,33.5,7.0,1.35,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,-0.1100000000000001,4.422189465263219,1,0
8,22.1,25000.0,3.17,83.7,2,31.8,3.7,4.0,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,0.0,0.7924980187549532,1,0
10,19.6,25000.0,2.96,81.0,3,43.6,7.1,3.88,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,0.1200000000000001,0.7628846317406398,1,0
11,20.5,57339.0,3.24,100.0,2,40.9,6.1,4.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.8099979750050627,0,0
12,19.2,25000.0,4.25,89.9,0,48.2,6.2,3.7,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.30000000000000027,1.1486455442012318,1,0
13,20.1,32702.0,3.55,75.2,2,7.6,5.5,1.87,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,0.029999999999999805,1.8983855701306407,0,1
15,22.0,25000.0,3.33,93.2,0,49.7,5.3,2.2,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.4800000000000002,1.5136294835023476,1,0
16,23.1,27770.0,4.46,80.9,2,34.6,3.5,3.07,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,0.010000000000000231,1.4527639975114088,1,0
17,21.8,25000.0,2.33,77.6,1,18.1,5.8,1.64,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,0.030000000000000027,1.4207230443716807,0,0
18,21.9,25000.0,4.07,81.7,0,20.1,3.3,2.67,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,-0.1200000000000001,1.524338860154082,0,0
19,20.1,50262.0,4.11,87.0,4,30.2,5.6,2.42,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,-0.23999999999999977,1.6983400895037626,0,0
20,21.7,25000.0,2.76,88.8,1,27.8,3.2,2.39,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.21999999999999975,1.1548068836532064,0,0
21,18.0,25000.0,4.97,73.8,2,9.8,6.2,0.4,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,-0.4,12.424689382765429,0,1
22,20.8,35922.0,3.77,78.4,2,23.0,4.0,1.98,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,0.18000000000000016,1.9040307877232943,0,0
23,20.5,36040.0,3.7,90.9,0,5.0,2.1,2.14,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,0.3999999999999999,1.7289638833463394,0,0
24,18.9,32803.0,2.52,83.4,1,23.9,5.8,2.24,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,-0.27000000000000024,1.1249949777009922,0,1
25,17.6,56655.0,3.68,82.4,3,22.9,2.8,4.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,0.0,0.9199977000057501,0,1
26,22.3,35436.0,1.78,83.5,1,50.9,3.8,2.86,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,-0.16999999999999993,0.6223754462396985,0,0
27,19.3,25000.0,4.99,81.6,0,30.6,4.9,3.2,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0.43999999999999995,1.559370126968353,1,0
28,20.0,25000.0,2.51,99.2,2,12.5,5.4,1.72,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,-0.43999999999999995,1.459293841314876,0,0
29,20.2,28103.0,5.62,75.6,2,15.9,4.0,3.95,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.04999999999999982,1.42278120814884,0,0
30,21.3,25000.0,4.4,72.1,1,5.0,9.5,0.5,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0.6100000000000001,8.799824003519932,0,1
31,21.5,25000.0,3.48,87.6,0,45.4,9.4,2.44,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,0.6499999999999999,1.4262236630177745,1,1
32,21.6,25000.0,3.59,71.2,0,26.4,4.7,1.72,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,0.1200000000000001,2.0871971674583287,0,1
33,21.8,36759.0,2.98,78.3,1,34.9,8.0,2.21,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,0.41000000000000014,1.3484101881891937,0,0
34,17.0,25000.0,4.2,89.8,2,19.5,6.9,2.61,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,-0.21999999999999975,1.6091892368228475,0,1
35,21.2,51964.0,5.8,79.5,1,50.7,6.4,1.53,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,0.47999999999999976,3.790824896569303,0,0
36,23.7,44090.0,5.44,85.0,4,12.4,7.6,1.81,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,-0.73,3.0055082568604594,0,1
37,18.7,25000.0,3.44,84.4,1,42.2,5.0,0.0,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,0.38,343999.99999999994,1,1
38,21.1,25000.0,4.65,76.4,1,16.8,3.5,2.75,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,0.020000000000000018,1.6909029421711195,0,0
39,22.8,26047.0,4.45,78.8,2,27.4,6.0,4.0,True,True,True,True,False,False,True,True,False,False,False,False,True,False,False,-0.14000000000000012,1.1124972187569533,0,0
40,19.8,42552.0,3.22,82.9,0,48.8,7.5,3.94,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,-0.16999999999999993,0.8172568089928707,0,0
41,22.1,57602.0,4.24,83.2,0,17.6,4.7,2.87,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,-0.07000000000000028,1.4773467688265893,0,0
42,22.6,25000.0,5.71,99.7,2,57.2,6.2,4.0,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0,1.427496431258922,1,0
43,22.6,29709.0,4.57,88.5,0,41.3,3.9,3.87,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,-0.16999999999999993,1.180875501613691,0,0
44,22.2,35605.0,2.54,85.8,1,25.2,9.6,0.77,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.06999999999999995,3.2986584589810524,0,0
45,18.9,27857.0,2.87,74.2,1,36.1,6.9,2.76,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.30000000000000027,1.0398513048865765,1,0
