,student_id,age,gender,family_income,internet_access,study_hours_per_day,attendance_rate,assignment_delay_days,travel_time_minutes,part_time_job,scholarship,stress_index,gpa,semester_gpa,cgpa,semester,department,parental_education,dropout
0,9255,21.5,Male,25000.0,Yes,5.7,82.7,0,42.0,Yes,Yes,4.2,3.46,3.44,3.52,Year 4,Arts,Bachelor,0
1,1562,19.4,Male,29448.0,Yes,7.28,75.7,2,47.8,No,No,5.2,3.54,3.58,3.58,Year 1,Business,Bachelor,0
2,1671,20.5,Male,25000.0,Yes,4.45,79.5,3,35.6,Yes,No,4.0,3.01,3.02,3.02,Year 1,Arts,High School,0
3,6088,17.6,Male,25000.0,Yes,2.41,73.3,0,12.5,No,Yes,3.8,1.65,1.75,1.71,Year 2,Engineering,Master,0
4,6670,22.5,Female,34113.0,Yes,2.9,84.7,2,45.5,Yes,Yes,2.5,0.75,0.32,0.29,Year 4,Engineering,High School,0
5,5934,17.0,Female,57317.0,Yes,1.62,78.2,4,18.5,No,No,4.7,2.87,2.75,2.69,Year 4,CS,High School,0
6,8830,18.3,Female,25000.0,Yes,3.37,71.6,2,38.5,No,No,8.2,1.09,0.37,0.44,Year 4,Science,Bachelor,1
7,7946,18.9,Female,25000.0,Yes,5.97,79.6,1,33.5,No,No,7.0,1.35,1.24,1.23,Year 2,Science,High School,0
8,3509,22.1,Female,25000.0,Yes,3.17,83.7,2,31.8,No,Yes,3.7,4.0,4.0,4.0,Year 2,Business,Bachelor,0
10,5867,19.6,Female,25000.0,No,2.96,81.0,3,43.6,No,No,7.1,3.88,4.0,4.0,Year 2,Engineering,High School,0
11,169,20.5,Female,57339.0,Yes,3.24,100.0,2,40.9,No,Yes,6.1,4.0,4.0,4.0,Year 2,Arts,Bachelor,0
12,2589,19.2,Female,25000.0,Yes,4.25,89.9,0,48.2,No,No,6.2,3.7,3.4,3.49,Year 4,Arts,Bachelor,0
13,5906,20.1,Female,32702.0,Yes,3.55,75.2,2,7.6,No,No,5.5,1.87,1.9,1.97,Year 2,Engineering,Bachelor,1
15,6385,22.0,Female,25000.0,Yes,3.33,93.2,0,49.7,No,No,5.3,2.2,1.72,1.65,Year 4,Science,Bachelor,0
16,7825,23.1,Male,27770.0,Yes,4.46,80.9,2,34.6,No,Yes,3.5,3.07,3.08,3.04,Year 3,Engineering,Master,0
17,9780,21.8,Female,25000.0,Yes,2.33,77.6,1,18.1,No,Yes,5.8,1.64,1.67,1.64,Year 4,Arts,High School,0
18,4630,21.9,Female,25000.0,Yes,4.07,81.7,0,20.1,No,Yes,3.3,2.67,2.55,2.54,Year 4,Engineering,Bachelor,0
19,8561,20.1,Male,50262.0,Yes,4.11,87.0,4,30.2,No,No,5.6,2.42,2.18,2.23,Year 4,Science,Master,0
20,9292,21.7,Female,25000.0,Yes,2.76,88.8,1,27.8,No,No,3.2,2.39,2.61,2.62,Year 4,Arts,Master,0
21,6875,18.0,Male,25000.0,No,4.97,73.8,2,9.8,No,No,6.2,0.4,0.0,0.06,Year 2,CS,Bachelor,1
22,6522,20.8,Female,35922.0,Yes,3.77,78.4,2,23.0,Yes,No,4.0,1.98,2.16,2.14,Year 4,Science,Master,0
23,8980,20.5,Male,36040.0,Yes,3.7,90.9,0,5.0,No,Yes,2.1,2.14,2.54,2.6,Year 2,CS,High School,0
24,6648,18.9,Female,32803.0,Yes,2.52,83.4,1,23.9,Yes,No,5.8,2.24,1.97,1.97,Year 1,Science,High School,1
25,9826,17.6,Female,56655.0,Yes,3.68,82.4,3,22.9,No,No,2.8,4.0,4.0,3.98,Year 4,Engineering,Bachelor,1
26,211,22.3,Female,35436.0,Yes,1.78,83.5,1,50.9,No,No,3.8,2.86,2.69,2.73,Year 2,Engineering,Master,0
27,5279,19.3,Male,25000.0,No,4.99,81.6,0,30.6,No,Yes,4.9,3.2,3.64,3.65,Year 3,Engineering,High School,0
28,1920,20.0,Male,25000.0,Yes,2.51,99.2,2,12.5,No,No,5.4,1.72,1.28,1.36,Year 2,CS,Bachelor,0
29,719,20.2,Female,28103.0,Yes,5.62,75.6,2,15.9,No,Yes,4.0,3.95,4.0,4.0,Year 1,Arts,PhD,0
30,4869,21.3,Male,25000.0,Yes,4.4,72.1,1,5.0,No,No,9.5,0.5,1.11,1.11,Year 1,CS,High School,1
31,7835,21.5,Male,25000.0,Yes,3.48,87.6,0,45.4,No,No,9.4,2.44,3.09,3.09,Year 4,Science,High School,1
32,1299,21.6,Female,25000.0,Yes,3.59,71.2,0,26.4,Yes,No,4.7,1.72,1.84,1.89,Year 3,Science,Master,1
33,9194,21.8,Female,36759.0,Yes,2.98,78.3,1,34.9,Yes,No,8.0,2.21,2.62,2.6,Year 3,Science,PhD,0
34,4618,17.0,Male,25000.0,Yes,4.2,89.8,2,19.5,No,Yes,6.9,2.61,2.39,2.47,Year 3,Arts,High School,1
35,3129,21.2,Male,51964.0,Yes,5.8,79.5,1,50.7,No,No,6.4,1.53,2.01,2.05,Year 3,Science,High School,0
36,9796,23.7,Male,44090.0,Yes,5.44,85.0,4,12.4,No,Yes,7.6,1.81,1.08,1.08,Year 1,Science,High School,1
37,3980,18.7,Male,25000.0,Yes,3.44,84.4,1,42.2,No,No,5.0,0.0,0.38,0.41,Year 2,Science,Master,1
38,9925,21.1,Male,25000.0,Yes,4.65,76.4,1,16.8,Yes,No,3.5,2.75,2.77,2.78,Year 2,Engineering,High School,0
39,8318,22.8,Male,26047.0,Yes,4.45,78.8,2,27.4,Yes,Yes,6.0,4.0,3.86,3.84,Year 4,Business,Master,0
40,4394,19.8,Female,42552.0,Yes,3.22,82.9,0,48.8,No,No,7.5,3.94,3.77,3.7,Year 4,CS,Bachelor,0
41,1288,22.1,Female,57602.0,Yes,4.24,83.2,0,17.6,No,No,4.7,2.87,2.8,2.71,Year 3,Science,High School,0
42,4356,22.6,Male,25000.0,Yes,5.71,99.7,2,57.2,No,No,6.2,4.0,4.0,4.0,Year 4,CS,Bachelor,0
43,7014,22.6,Male,29709.0,Yes,4.57,88.5,0,41.3,No,Yes,3.9,3.87,3.7,3.69,Year 3,Business,PhD,0
44,3886,22.2,Female,35605.0,Yes,2.54,85.8,1,25.2,No,No,9.6,0.77,0.84,0.97,Year 3,Arts,High School,0
45,5750,18.9,Female,27857.0,No,2.87,74.2,1,36.1,No,Yes,6.9,2.76,3.06,3.06,Year 1,Arts,Unknown,0
46,9170,21.8,Male,25000.0,Yes,3.82,80.4,0,7.2,No,No,5.3,1.7,1.2,1.16,Year 4,Engineering,High School,0
47,2408,22.8,Female,36987.0,No,3.77,85.6,0,35.2,No,Yes,2.9,4.0,4.0,4.0,Year 1,Science,High School,0
48,2014,18.9,Male,25000.0,Yes,5.48,85.4,0,37.9,No,No,1.0,4.0,3.84,3.91,Year 4,Science,Bachelor,0
49,5154,19.8,Male,40100.0,Yes,0.91,74.9,2,43.1,No,Yes,5.4,1.23,0.74,0.75,Year 4,Arts,High School,1
50,8552,19.4,Female,40427.0,Yes,4.26,88.7,2,17.1,No,No,9.4,1.0,0.87,0.87,Year 3,CS,Bachelor,0
51,4377,17.0,Male,35645.0,Yes,2.46,82.2,1,29.9,No,No,4.2,2.84,3.62,3.59,Year 4,CS,High School,0
52,8823,21.6,Female,25182.0,Yes,3.92,72.6,1,27.7,Yes,No,5.9,3.61,3.73,3.79,Year 4,Business,Master,0
53,4274,18.6,Male,25685.0,Yes,5.08,77.4,1,19.6,Yes,No,4.2,3.14,3.07,3.09,Year 4,Science,Unknown,0
54,5826,17.3,Female,60696.0,Yes,2.91,76.4,1,31.5,No,No,4.5,0.38,0.35,0.43,Year 4,Science,Bachelor,0
55,6700,19.2,Male,27875.0,Yes,7.03,90.8,0,40.0,No,Yes,3.3,4.0,4.0,4.0,Year 1,Science,Master,0
56,7244,19.6,Male,29177.0,No,4.94,88.4,3,24.4,Yes,Yes,5.2,3.85,3.21,3.27,Year 3,Arts,Master,0
57,450,18.7,Female,25000.0,Yes,2.76,80.3,0,32.4,Yes,No,4.6,3.87,4.0,4.0,Year 3,Science,Bachelor,0
58,2228,19.7,Male,25000.0,No,3.6,92.4,3,21.3,Yes,Yes,5.8,2.56,2.27,2.22,Year 2,Engineering,Bachelor,0
59,5757,22.3,Male,25000.0,Yes,3.95,76.1,3,32.3,Yes,Yes,2.9,0.0,0.0,0.0,Year 2,Arts,Bachelor,1
60,811,20.6,Male,25000.0,Yes,5.33,71.9,0,36.0,Yes,No,6.5,1.41,1.69,1.7,Year 4,CS,Master,0
61,4181,21.6,Male,25000.0,No,2.7,78.3,1,22.6,No,No,7.0,2.39,2.51,2.48,Year 4,CS,Bachelor,1
62,9001,22.7,Male,25000.0,Yes,5.4,79.0,1,31.5,Yes,Yes,6.3,1.65,1.69,1.73,Year 3,Business,Bachelor,1
63,5439,21.8,Male,40223.0,Yes,2.81,93.0,4,8.9,Yes,No,8.5,0.9,1.28,1.28,Year 1,Science,Bachelor,0
64,7534,20.0,Male,25000.0,Yes,5.55,79.5,2,25.7,No,No,7.2,1.68,2.38,2.41,Year 4,Arts,Master,0
65,6370,20.1,Female,25000.0,Yes,6.96,77.3,3,48.2,No,Yes,7.1,1.81,1.91,1.96,Year 2,Engineering,High School,0
66,8417,20.9,Male,25000.0,Yes,4.98,82.9,2,33.2,Yes,No,5.5,4.0,3.61,3.61,Year 1,Arts,High School,0
67,1478,21.9,Female,32886.0,Yes,3.95,92.4,2,24.5,No,No,5.0,0.83,0.5,0.54,Year 2,Science,PhD,1
68,1791,17.0,Female,25000.0,Yes,4.74,83.9,1,38.7,No,Yes,2.1,3.51,3.35,3.3,Year 4,Science,High School,0
69,2009,22.5,Male,25000.0,Yes,4.46,79.6,1,23.1,Yes,Yes,3.7,4.0,3.73,3.73,Year 1,CS,Bachelor,0
70,683,19.8,Female,59308.0,Yes,4.66,77.2,1,12.4,Yes,No,7.4,1.6,1.36,1.38,Year 2,Arts,Bachelor,0
71,2817,22.1,Female,25000.0,Yes,2.57,97.4,0,30.4,Yes,No,8.1,2.66,2.65,2.61,Year 2,CS,Bachelor,0
72,9432,19.2,Male,25000.0,Yes,4.98,93.9,1,27.7,No,Yes,7.8,3.46,3.83,3.83,Year 4,Engineering,Master,0
